domain	CMP_vendor
casetext.com	OneTrust
justia.com	Custom (accept-only)
texas.gov	Custom (accept-only)
state.gov	Enzuzo
townhall.com	Google Funding Choices
bedbathandbeyond.com	Custom (accept-only)
cricketwireless.com	Custom
victoriassecret.com	Tealium
harborfreight.com	OneTrust
bathandbodyworks.com	Tealium
sephora.com	Commanders Act
ulta.com	OneTrust
nike.com	OneTrust
temu.com	Custom
etsy.com	Custom
ebay.com	Custom
yahoo.com	Custom
theepochtimes.com	Custom
newsmax.com	Usercentrics/Cookiebot
newsbreak.com	Custom
thedailybeast.com	OneTrust
today.com	OneTrust
bloomberg.com	Sourcepoint
sfgate.com	Custom
patch.com	OneTrust
drudgereport.com	GG Software (CMP 242)
huffpost.com	OneTrust
buzzfeed.com	OneTrust
cbsnews.com	OneTrust
nbcnews.com	OneTrust
apnews.com	OneTrust
wsj.com	Trustarc
newsweek.com	Ketch
cnbc.com	OneTrust
news.yahoo.com	Custom
washingtonpost.com	OneTrust
nypost.com	OneTrust
news.google.com	Custom
usatoday.com	OneTrust
msn.com	OneTrust
cnn.com	OneTrust
nytimes.com	Sourcepoint
politico.com	OneTrust
montreal.ca	CookieYes
laval.ca	Custom
educaloi.qc.ca	CookieYes
vfsglobal.ca	OneTrust
loblaws.ca	OneTrust
nofrills.ca	OneTrust
brownsshoes.com	OneTrust
ssense.com	OneTrust
adidas.ca	Custom
toysrus.ca	CookiePro
aritzia.com	OneTrust
smartcanucks.ca	consentmanager
simons.ca	Didomi
shop.app	Custom
canadacomputers.com	Custom (accept-only)
redflagdeals.com	InMobi CMP
walmart.ca	Custom
lavoixdelest.ca	Google Funding Choices
ledroit.com	Google Funding Choices
latribune.ca	Google Funding Choices
lesoleil.com	Google Funding Choices
castanet.net	Google Funding Choices
tvasports.ca	Google Funding Choices
ledevoir.com	Didomi
hockey30.com	FastCMP
thestar.com	Google Funding Choices
journaldequebec.com	Google Funding Choices
dailyhive.com	Google Funding Choices
citynews.ca	Custom
tvanouvelles.ca	Google Funding Choices
globalnews.ca	Evidon
radio-canada.ca	Custom
journaldemontreal.com	Google Funding Choices
cbc.ca	Custom (accept-only)
dailystar.co.uk	InMobi CMP
service.gov.uk	Custom
durham.gov.uk	Cassie by Syrenis
blog.gov.uk	Cookie Control by CIVIC
www.met.police.uk	Custom
london.gov.uk	Cookie Control by CIVIC
labour.org.uk	CookieYes
www.gov.scot	Custom
manchester.gov.uk	Usercentrics/Cookiebot
hmrc.gov.uk	Custom
shelter.org.uk	Cookie Control by CIVIC
leeds.gov.uk	OneTrust
edinburgh.gov.uk	Cookie Control by CIVIC
www.england.nhs.uk	Cookie Control by CIVIC
food.gov.uk	Custom
bristol.gov.uk	Cookie Control by CIVIC
pepipoo.com	Custom (accept-only)
nationalarchives.gov.uk	Custom
birmingham.gov.uk	Cookie Control by CIVIC
southend.gov.uk	Cookie Control by CIVIC
parkrun.org.uk	Custom (accept-only)
38degrees.org.uk	Cookie Control by CIVIC
ons.gov.uk	Custom
nidirect.gov.uk	Custom
legislation.gov.uk	Custom
mod.uk	Custom
dwp.gov.uk	Custom
dvla.gov.uk	Custom
dvsa.gov.uk	Custom
