	Response ID	Date submitted	Last page	Start language	Seed	Date started	Date last action	IP address	What is the domain of the website?	Is the website accessible from the current region?	Does the website show a consent notice?	In what language has the website been written?	In what language has the website been written? [Other]	Does the consent notice present... [...an 'accept all' option?]	Does the consent notice present... [...a 'reject all' option?]	Does the consent notice present... [conditional terms (may, might, or could)?]	Does the consent notice present... [a visibly highlighted link to the privacy/cookie policy?]	Are the 'accept all' and 'reject all' options... [...displayed using the same type of form element?]	Are the 'accept all' and 'reject all' options... [...shown at the same level of the consent notice?]	Is a form element highlighted? If so, is it the one for the most restrictive option?	Is a form element highlighted? If so, is it the one for the most restrictive option? [Comment]	Please copy the text of the consent notice.	What is the font size (in pixels) of the text in the consent notice? 	Where is the following information provided? [the purposes for which cookies are being stored]	Where is the following information provided? [the expiration date of cookies]	Where is the following information provided? [the fact that information is shared with third parties/partners]	Where is the following information provided? [links to privacy policies of third parties]	Where is the following information provided? [the identity of the controller]	Where is the following information provided? [the legal basis for processing]	Does the cookie policy contain the cookies which are being stored by the website?	Does the cookie policy contain the cookies which are being stored by the website? [Comment]	Does the consent notice inform the user of their right to withdraw consent?	Does the consent notice inform the user of their right to withdraw consent? [Comment]	Can consent be given separately for each purpose?	Can consent be given separately for each purpose? [Comment]	Is consent combined with the terms of service?	Are any boxes in the consent notice pre-selected?	Is legitimate interest used as a legal basis for storing non-necessary cookies?	Are the numbers of clicks needed to accept &amp; reject consent equal?	Does the consent notice produce a visual effect when interacted with?	Does the consent notice produce a visual effect when interacted with? [Comment]	Is the site accessible without providing consent?	Is the site accessible without providing consent? [Comment]	Can consent be withdrawn through the same electronic interface?	Can consent be withdrawn through the same electronic interface? [Comment]	Do you want to mention anything else?	Total time	Group time: Website information	Question time: G1Q00001	Question time: G1Q00002	Question time: G1Q00003	Question time: G1Q00004	Group time: Consent notice - first level	Question time: G02Q29	Question time: G02Q28	Question time: G2Q00002	Question time: G2Q00005	Question time: G2Q00006	Group time: Consent notice &amp; legal documents – in-depth analysis	Question time: G03Q29	Question time: G3Q00006	Question time: G3Q00007	Question time: G3Q00009	Question time: G3Q00010	Question time: G3Q00012	Question time: G3Q00013	Group time: Acceptance/rejection of consent	Question time: G3Q00011	Question time: G3Q00014	Question time: G3Q00016	Group time: Withdrawal of consent	Question time: G3Q00015	Group time: Extra information	Question time: G3Q00017	Please copy the translated (English-language) text of the consent notice.
0	1	2024-03-26 14:04:40	1.0	en	501368194.0	2024-03-26 13:39:25	2024-03-26 14:04:40	2a02:a459:1240:1:ec2c:c67:b529:cfb5	bestbuy.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	no information present	no information on purposes is given, only technical types/categories					No		No						there is no method to withdraw consent	only the sale of personal information can be opted out from		1514.09																												
1	2	2024-03-26 14:12:05	1.0	en	66287243.0	2024-03-26 14:04:43	2024-03-26 14:12:05	2a02:a459:1240:1:ec2c:c67:b529:cfb5	gov.bc.ca	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			442.7																												
2	4	2024-03-26 14:36:47	1.0	en	737591209.0	2024-03-26 14:22:04	2024-03-26 14:36:47	2a02:a459:1240:1:ec2c:c67:b529:cfb5	thehill.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere							Yes		No						there is no method to withdraw consent	The DNSMPI link appears to be broken (i.e. clicking it does not have any effect).	"The privacy policy has the following interesting paragraph:
""""""
We control and operate our Properties from the United States. The Properties are not intended to subject us to the laws or jurisdiction of any state, country or territory other than that of the United States. Please note that we do not represent or warrant that the Properties are appropriate for use in any particular jurisdiction. Those who choose to access the Properties do so at their own initiative and are responsible for complying with all applicable laws, rules and regulations. Further by using and participating in our Properties or providing us with your information, you consent to the collection, transfer, storage, access and processing of your information in and/or outside of the jurisdiction in which you reside.
"""""""	126.09																												
3	5	2024-03-26 15:22:27	1.0	en	1143988607.0	2024-03-26 14:49:04	2024-03-26 15:22:27	2a02:a459:1240:1:ec2c:c67:b529:cfb5	kroger.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	no information present						No		No						consent can only be withdrawn outside the browser (e.g. through an app)	Withdraw consent (probably not for cookies) through a telephone number.		2002.96																												
4	6	2024-03-26 15:49:13	1.0	en	1340330877.0	2024-03-26 15:32:17	2024-03-26 15:49:13	2a02:a459:1240:1:ec2c:c67:b529:cfb5	startlap.hu	Yes	Yes	Hungarian		Yes	Yes	Yes	No	No	No	form element other than most restrictive highlighted		"Mi és a partnereink információkat – például sütiket – tárolunk egy eszközön vagy hozzáférünk az eszközön tárolt információkhoz, és személyes adatokat – például egyedi azonosítókat és az eszköz által küldött alapvető információkat – kezelünk személyre szabott hirdetések és tartalom nyújtásához, hirdetés- és tartalomméréshez, nézettségi adatok gyűjtéséhez, valamint termékek kifejlesztéséhez és a termékek javításához. Az Ön engedélyével mi és a partnereink eszközleolvasásos módszerrel szerzett pontos geolokációs adatokat és azonosítási információkat is felhasználhatunk. A megfelelő helyre kattintva hozzájárulhat ahhoz, hogy mi és a partnereink a fent leírtak szerint adatkezelést végezzünk. Másik lehetőségként a hozzájárulás megadása vagy elutasítása előtt részletesebb információkhoz juthat, és megváltoztathatja beállításait. Felhívjuk figyelmét, hogy személyes adatainak bizonyos kezeléséhez nem feltétlenül szükséges az Ön hozzájárulása, de jogában áll tiltakozni az ilyen jellegű adatkezelés ellen. A beállításai a webhelyek egy csoportjára érvényesek. Erre a webhelyre visszatérve vagy az adatvédelmi szabályzatunk segítségével bármikor megváltoztathatja a beállításait.
Felhívjuk továbbá a figyelmet, hogy ez a webhely/alkalmazás 1 vagy több Google szolgáltatást használ, továbbá információkat gyűjthet és tárolhat, beleértve többek között az Ön látogatására vagy használati szokásaira vonatkozó információkat. Az alábbi, a Google részére adott hozzájárulást tartalmazó szakaszban, a megfelelő lehetőségre kattintva megadhatja vagy megtagadhatja a hozzájárulását ahhoz, hogy a Google és annak harmadik féltől származó címkéi felhasználják az Ön adatait az alábbiakban megadott célokra."	14.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		there is no method to withdraw consent	I cannot find a way to re-open the consent notice		1016.47																												We and our partners store information about your visits, such as cookies, on a device or access the information stored on the device, and process personal data, such as your unique identification data and basic information sent by the device, to provide personalized ads and content, to request ads and content, to collect view data, and to develop products and improve products, as described above by Google. With your permission, we and our partners may also use accurate geolocation and identification information obtained through the device reading method. By clicking on the appropriate location, you may consent to us and our partners to process data as described above. Otherwise, you may obtain more detailed information and change your settings before you give your consent or refuse to purchase your device. Please note that your consent to our personal data processing may not be subject to or opposed to certain conditions, including 1 or more of your right to
5	7	2024-03-26 16:04:41	1.0	en	1443206376.0	2024-03-26 15:49:29	2024-03-26 16:04:41	2a02:a459:1240:1:ec2c:c67:b529:cfb5	bloomberg.com	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"We and our 153 third party partners use cookies and similar technologies (""Cookies"") and hashed identifiers (e.g., a hashed version of your name, email address or phone number) to help us identify you on our site and third-party sites and to process certain information, such as your IP address and digital identifiers, to analyze site usage and provide you with relevant advertisements and content. We and our third party partners use Cookies and hashed identifiers for the following purposes:

Store and/or access information on a device
Personalised advertising and content, advertising and content measurement, audience research and services development
Bloomberg required cookies
Bloomberg functional cookies
Bloomberg advertising cookies
You may click ""Yes, I accept"" to agree to our and our partners' processing for these purposes. If you don't agree, then certain features, including content and ad personalization will not be available. Alternatively you can find out more about these Cookies and identifiers and exercise choice by clicking ""Manage cookies"". You can manage your choices at any time by accessing the “Manage Cookies” link in the footer of this site and also by clicking this link. Your choices will only apply to this digital property. To learn more, see our Privacy Policy.


Please note that some of our partners do not require consent to process your personal information, but you have a right to object to such processing either by clicking ""No, I Do Not Accept"" or by managing your choices."	14.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen	I am not sure whether I was able to reject all cookies, given that it seems I might not have been able to scroll to the bottom of the legitimate interest menu.	no difference in functionality		consent can be withdrawn through the website		"The privacy policy page did not load due to some form of CAPTCHA.

The term 'may' is used in the consent notice, but not in a problematic context ('You may click ""Yes, I accept"" to agree...')

I had to reconnect to the VPN service multiple times because of CAPTCHA-related issues."	912.56																												"We and our 153 third party partners use cookies and similar technologies (""Cookies"") and hashed identifiers (e.g., a hashed version of your name, email address or phone number) to help us identify you on our site and third-party sites and to process certain information, such as your IP address and digital identifiers, to analyze site usage and provide you with relevant advertisements and content. We and our third party partners use Cookies and hashed identifiers for the following purposes:

Store and/or access information on a device
Personalised advertising and content, advertising and content measurement, audience research and services development
Bloomberg required cookies
Bloomberg functional cookies
Bloomberg advertising cookies
You may click ""Yes, I accept"" to agree to our and our partners' processing for these purposes. If you don't agree, then certain features, including content and ad personalization will not be available. Alternatively you can find out more about these Cookies and identifiers and exercise choice by clicking ""Manage cookies"". You can manage your choices at any time by accessing the “Manage Cookies” link in the footer of this site and also by clicking this link. Your choices will only apply to this digital property. To learn more, see our Privacy Policy.


Please note that some of our partners do not require consent to process your personal information, but you have a right to object to such processing either by clicking ""No, I Do Not Accept"" or by managing your choices."
6	8	2024-03-26 16:12:15	1.0	en	1797087206.0	2024-03-26 16:05:13	2024-03-26 16:12:15	2a02:a459:1240:1:ec2c:c67:b529:cfb5	2dehands.be	Yes	Yes	Dutch		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted		"Om 2dehands beter voor jou te laten werken, het gebruik van onze app te kunnen analyseren en jou relevante advertenties te kunnen tonen en jou ook buiten onze app te kunnen bereiken, maken wij gebruik van onder andere cookies en gepseudonimiseerde gebruikersdata. Daarnaast maken wij en onze 335 partners gebruik van cookies en vergelijkbare technieken om gepersonaliseerde advertenties en content te leveren, advertentie- en contentmetingen te kunnen doen, doelgroepenonderzoek uit te voeren en diensten te ontwikkelen, informatieve apparaatkenmerken te gebruiken en je precieze geolocatie te bepalen.


Door op “Accepteren” te klikken ga je hiermee akkoord voor onze website. Weigeren kan door hieronder op Instellingen te klikken. Je kunt je toestemming later weer intrekken of wijzigen via Help en Info, via de website homepage, footer of Mijn 2dehands.



Meer weten? Lees onze FAQ, cookiebeleid en onze privacyverklaring."	16.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			422.54																												In order to be able to work better for you, analyze the use of our app and show you relevant ads and reach you outside our app, we use cookies and pseudonymized user data, among other things. In addition, we and our 335 partners use cookies and similar technologies to deliver personalized ads and content, ad and content measurements, perform target research and develop services, use informative device features and determine your exact geolocation. By clicking on “Accept” you agree to our website. You can refuse by clicking on Settings below. You can later withdraw or change your consent via Help and Info, through the website homepage, footer or My Hand 2s. Read more?
7	9	2024-03-27 09:12:31	1.0	en	1295219005.0	2024-03-27 08:57:43	2024-03-27 09:12:31	2a02:a459:1240:1:d4e5:cba2:542b:6de2	aritzia.com	Yes	Yes	English		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted	The highlighting is not present on the level where the reject all option is present; however, at the first level, accept all is highlighted compared to the manage options button.	We and our partners use cookies and similar technologies on our site. Optional cookies, for analytics, measurement, advertising, personalisation, and marketing, won’t be activated unless you accept. You may withdraw consent at any time.	13.0	consent notice	privacy policy(or cookie policy)	consent notice	privacy policy(or cookie policy)	consent notice	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	Only the basic 'levels' of strictly necessary, functional, performance/analytics, and advertising are given. These contain multiple purposes in practice.	No	No	No	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"We should discuss how to handle websites where you are initially presented with the choice to go to the international version of the website, or to a local one.

The word 'may' is used in the sentence 'You may withdraw your consent at any time.' I would not consider this problematic.

For the legitimate interest question, the privacy policy explicitly mentions that 'We also rely on our legitimate interests as our European legal basis, to personalise our website so that it reflects your circumstances (e.g. your location/language) and in better tailoring our website to our customers’ interests. Where we place cookies for these purposes, we rely on your consent where required by applicable law.'

For this analysis, I considered the international site."	887.88																												We and our partners use cookies and similar technologies on our site. Optional cookies, for analytics, measurement, advertising, personalisation, and marketing, won’t be activated unless you accept. You may withdraw consent at any time.
8	10	2024-03-27 09:22:50	1.0	en	590144582.0	2024-03-27 09:12:55	2024-03-27 09:22:50	2a02:a459:1240:1:d4e5:cba2:542b:6de2	independent.co.uk	Yes	Yes	English		Yes	Yes	Yes	No	No	No	form element other than most restrictive highlighted		"The Independent and our 95 partners use cookies and other similar technologies to enable a variety of functions and features on our website. Some are essential for the website to work properly whilst others allow us to improve our services to you, which can include personalised content and advertising with your consent. We and our partners may access personal data using these cookies and similar technologies, such as articles visited or your IP address. 
You can change your preferences at any time by clicking on ‘Privacy settings’ at the bottom of any page. Your consent only applies to this website. We use cookies or similar technologies for the following purposes:


Store and/or access information on a device
Cookies, device or similar online identifiers (e.g. login-based identifiers, randomly assigned identifiers, network based identifiers) together with other information (e.g. browser type and information, language, screen size, supported technologies etc.) can be stored or read on your device to recognise it each time it connects to an app or to a website, for one or several of the purposes presented here.

Precise geolocation data, and identification through device scanning
Precise geolocation and information about device characteristics can be used.

Personalised advertising and content, advertising and content measurement, audience research and services development
Advertising and content can be personalised based on your profile. Your activity on this service can be used to build or improve a profile about you for personalised advertising and content. Advertising and content performance can be measured. Reports can be generated based on your activity and those of others. Your activity on this service can help develop and improve products and services.

Analytics storage
added for Google Analytics

To accept or reject cookies, or to opt out where our partners rely on a legitimate interest to use your information, click or tap the buttons below:"	14.0	consent notice	nowhere	consent notice	consent notice	consent notice	consent notice	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			594.92																												"The Independent and our 95 partners use cookies and other similar technologies to enable a variety of functions and features on our website. Some are essential for the website to work properly whilst others allow us to improve our services to you, which can include personalised content and advertising with your consent. We and our partners may access personal data using these cookies and similar technologies, such as articles visited or your IP address. 
You can change your preferences at any time by clicking on ‘Privacy settings’ at the bottom of any page. Your consent only applies to this website. We use cookies or similar technologies for the following purposes:


Store and/or access information on a device
Cookies, device or similar online identifiers (e.g. login-based identifiers, randomly assigned identifiers, network based identifiers) together with other information (e.g. browser type and information, language, screen size, supported technologies etc.) can be stored or read on your device to recognise it each time it connects to an app or to a website, for one or several of the purposes presented here.

Precise geolocation data, and identification through device scanning
Precise geolocation and information about device characteristics can be used.

Personalised advertising and content, advertising and content measurement, audience research and services development
Advertising and content can be personalised based on your profile. Your activity on this service can be used to build or improve a profile about you for personalised advertising and content. Advertising and content performance can be measured. Reports can be generated based on your activity and those of others. Your activity on this service can help develop and improve products and services.

Analytics storage
added for Google Analytics

To accept or reject cookies, or to opt out where our partners rely on a legitimate interest to use your information, click or tap the buttons below:"
9	11	2024-03-27 09:34:31	1.0	en	1312754197.0	2024-03-27 09:24:30	2024-03-27 09:34:31	2a02:a459:1240:1:d4e5:cba2:542b:6de2	berlin.de	Yes	No	German												privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings		I'm not entirely sure about the legitimate interest question; while I do think the site uses legitimate interest as a legal basis for storing cookies, I'm not sure whether the website uses any non-necessary cookies. Furthermore, I think that the website, although it does not have a consent notice, still uses third party cookies, and requests consent when you access the relevant embedded content.	601.55																												
